用户定位开始位置经度	用户定位开始位置纬度
118830134	32023231
118756170	32234563
118702065	31875891
118803771	31932439
118926940	32048630
118822200	31950720
118980922	31375457
118785190	32035196
118632733	32064420
118490288	31986638
118780400	32039790
118702065	31875891
118746072	32129013
118788430	32035140
118778874	32042223
118765452	32048554
118785509	32040169
118782520	32038680
118779634	32101049
118778981	31980344
118778650	32042164
118745944	31943313
118892959	32087033
118788429	32035140
118787740	32059289
118867630	31323030
118623089	32041330
118763270	32008183
118786994	32036040
118787240	32040619
118892959	32087033
118980922	31375457
118822450	32132083
118778070	32046999
118755554	32072902
118819080	32019382
118786831	32060834
118829672	32101974
118664634	32058483
118779563	32066294
118834641	32024700
118778070	32046999
118782209	32038710
118911214	32090640
118838760	32118721
118907384	32097766
118778388	32042410
118751741	32055343
118828160	31895873
118777520	32067180
118754193	32075732
118778990	32041945
118783020	32044330
118784001	32021453
118739920	32074990
118778388	32042411
118775277	32021293
118786991	32060104
118777972	32069588
118779184	32042042
118830740	31911384
118784220	32062233
118775490	32050240
118763000	32246060
118784003	32060743
118738404	32057960
118780182	32046360
118918265	31951774
118832863	31910331
118827569	31896027
118736600	32053910
118743115	32029201
118754010	32022910
118768816	32068306
118785801	32054269
118633823	32064594
118786991	32060104
118853100	31953380
118843310	32337330
118845450	32135196
118801162	32047261
118843310	32337330
118832863	31910331
118843590	32004152
118720142	31961940
118926663	32047960
118921683	32101318
118789489	32063537
118733186	32054865
118838760	32118721
118777520	32034750
118759941	32229993
118771861	32067614
118784823	32043854
118960776	32091437
118795663	32046570
118723448	32139737
118769766	31895813
118743952	32039783
118738020	32039389
118763333	31978570
118945060	32135869
118980272	31373978
118777520	32034750
118705196	32097894
118771861	32067614
118806579	32084617
118778126	32069117
118876740	31730650
118748460	32014490
118853036	32347261
118822338	31965581
118650554	32063020
118754917	32015022
118693257	31946484
118879244	31687136
118772376	32004588
118780760	32058860
118875891	31731233
118798072	32034079
118793180	32040922
118786252	32024493
118821405	32171576
118792915	31766093
118746758	32046660
118812025	32325675
118662010	31922204
118711784	32001571
118859543	32106682
118784420	32047730
118760318	32026410
118740270	32052360
118745290	32128390
118834785	32388969
118735443	31988741
118720720	32117840
118788568	31969188
118785923	32058067
118756476	32099629
118855890	31943820
118797273	32053060
118782941	32059872
118841756	32342381
118832863	31910331
118781970	32037930
118766364	32233272
118841822	32029100
118783690	32034820
118698002	32111914
118816012	32065891
118754323	32085984
118719954	32304912
118698002	32111914
118769009	32088247
118707971	32156653
118821747	32321700
118748460	32014490
118779600	32062350
118785923	32058067
118810760	32043480
118832863	31910331
118820293	32323712
118697934	32112346
118711845	31951983
118738921	32028368
118794997	32039555
118786611	32022934
118832863	31910331
118786629	32041011
118758990	32028959
118780250	32040080
118798012	32033290
118788630	32038939
118806877	32007514
118912169	32136147
118783592	32037517
118794500	32024530
118788051	32049872
118788051	32049872
118741505	32091917
118782620	32043540
118776779	32071190
118904762	32046278
118832141	31894925
118795150	32090954
118802082	32012721
118762710	32041649
118796782	32009715
118776779	32071190
118738600	32080419
118903340	32085028
118685470	31921880
118774082	31868434
118763793	32232093
118828979	32342796
118823927	32117019
118743115	32029201
118816438	32328910
118754313	32073870
118775634	32065781
118742292	32039554
118767660	32077800
118659869	31908091
118738442	32038857
118799999	31978916
118852898	32145857
118747012	32013351
118856960	31944250
118813761	32328440
118833530	31951570
118933874	31937600
118786788	32040940
118776873	32025683
118821390	31964884
118787144	32057554
118779870	31981933
118754010	32033189
118787910	32066021
118849590	32037261
118787496	32070515
118801233	32047559
118742760	32130899
118771508	32041632
118794681	32312683
118782520	32038680
118772428	32067240
118771508	32041632
118831990	31952110
118757981	32093570
118776072	32050462
118778690	32036910
118743606	32094344
118844107	32049148
118772428	32067240
118781651	32046272
118628622	32087018
118780410	32068522
118788261	32042990
118832224	31951640
118769524	32071441
118776996	32042197
118774370	32051119
118845230	32348000
118776256	32041947
118793889	31901442
118785823	32037703
118784121	32035415
118782267	32031882
118776714	32241487
118833351	32115516
118847302	31954215
118784326	32029850
118833833	31960330
118842069	32121429
118797803	32033332
118813860	32073330
118781143	32019405
118797803	32033332
118784326	32029850
118761655	32006019
118809561	32102680
118755919	32037490
118757981	32093570
118797611	32046424
118723259	32003649
118883504	32281782
118716408	31976422
118711934	32150380
118738000	32065027
118699511	31945373
118793889	31901443
118739431	32058613
118758181	32246383
118495532	31936140
118810210	32060662
118819045	31958681
118766638	32047262
118793889	31901443
118840560	32105310
118783122	32044153
118777710	32064994
118738000	32065027
118734648	31981891
118871658	31915019
118835990	31918898
118765610	32047680
118750844	32038463
118770043	32031142
118730136	32044095
118733548	31980714
118760792	32062608
118729760	32000950
119028820	31661460
118834575	32332172
